name,price,size,color,rpm,airflow,noise_level,pwm
NZXT AER RGB 2,,140,Black,"[500, 1500]","[30.39, 91.19]","[22, 33]",True
Corsair iCUE AF140 RGB ELITE 2-Pack,79.98,140,White,"[500, 1700]","[19.5, 89]","[5, 33.8]",True
Thermaltake TOUGHFAN 2-Pack,35.99,120,Black,"[500, 2000]",58.35,22.3,True
Fractal Design Aspect 12 RGB PWM,45.36,120,Black,"[500, 2000]","[13, 56]","[10, 33.2]",True
Corsair iCUE QL140 2-Pack,102.99,140,Black,1250,50.2,26,True
Noctua A9 PWM chromax.black.swap,27.96,92,Black / Multicolor,"[400, 2000]",46.44,22.8,True
Kingwin CF-012LB,5.08,120,Black,950,40,19,False
NZXT F120 RGB DUO,39.98,120,White,"[500, 1800]",48.58,29,True
Noctua P12 redux-1300 PWM,14.95,120,Gray,"[300, 1300]",54.32,19.8,True
Noctua S12A PWM,21.95,120,Brown,"[300, 1200]",,"[10.7, 17.8]",True
ARCTIC P12 PST,,120,Black / Translucent Black,"[200, 1800]",56.3,,True
upHere NT1207 5-Pack,37.99,120,White,"[600, 1800]","[29.37, 86.34]",,True
Cooler Master MasterFan MF Halo,20.29,120,White,"[650, 1800]",47.2,"[6, 30]",True
ARCTIC P12 PST CO,11.99,120,Black,"[200, 1800]",56.3,,True
Deepcool CF120 Plus 3-Pack,61.63,120,Black / White,"[500, 1800]",52.5,28.8,True
ARCTIC F12 PST,9.49,120,Black,"[230, 1350]",53,22.5,True
Xigmatek eXTREME SILENT,4.99,80,Black,2200,36,24,False
NZXT F140 RGB,26.99,140,White,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
Corsair iCUE SP140 RGB ELITE,29.99,140,Black / White,"[450, 1200]",,,True
Corsair iCUE QL120,43.13,120,White / Black,"[525, 1500]",41.8,26,True
Corsair iCUE ML RGB ELITE Premium,,120,Black,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
NZXT F120Q,24.98,120,White,"[500, 1200]","[27.77, 64]","[16.7, 22.5]",True
Fractal Design Aspect 12,19.98,120,Black,1200,32,18.3,False
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,,120,White / Gray,,48.8,,True
Razer Kunai Chroma 3-Pack,114.51,120,Black,"[500, 2200]","[17.48, 65.5]","[15, 35]",True
Phanteks M25-140 PWM D-RGB,23.98,140,Black,"[500, 1800]",104.62,36.57,True
Antec Fusion 120 ARGB White 5-Pack,59.99,120,White,"[600, 2000]",57.93,"[17.02, 31.24]",True
be quiet! Light Wings PWM high-speed,29.9,140,Black,2200,71.7,31,True
Corsair AF120 SLIM,24.99,120,Black,"[600, 2000]","[13.4, 56.3]","[5, 25.6]",True
be quiet! Silent Wings 3,29.02,120,Black,1450,50.5,16.4,True
Corsair iCUE ML RGB ELITE Premium 2-Pack,88.71,140,Black,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
NZXT AER RGB 2,32.99,140,White,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
Phanteks D30-120,33.98,120,Black,"[250, 2000]",64.3,30.2,True
NZXT AER RGB 2 3-Pack,,120,White,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
Corsair ML120 2-Pack,,120,White / Black,"[400, 2400]","[12, 75]","[16, 37]",True
Noctua A20 PWM,32.95,200,Brown,"[350, 800]","[59.33, 86.46]","[10.7, 18.1]",True
Phanteks SK140,8.09,140,Black,"[500, 1500]",84.5,36,True
be quiet! Light Wings 3-Pack,79.9,120,White,2500,52.3,31,True
