name,price,type,efficiency,wattage,modular,color
Gigabyte P850GM,,ATX,gold,850,Full,Black
SeaSonic PRIME TX,529.99,ATX,titanium,1600,Full,Black / Silver
EVGA SuperNOVA 1600 G2,674.21,ATX,gold,1600,Full,
be quiet! Pure Power 12 M,164.9,ATX,gold,1000,Full,Black
Corsair RM650,215.98,ATX,gold,650,Full,Black
Cooler Master MasterWatt,89.99,ATX,bronze,650,Semi,
ADATA XPG CORE Reactor 850,119.99,ATX,gold,850,Full,Black
Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
SeaSonic FOCUS Plus Platinum,184.99,ATX,platinum,850,Full,
Phanteks Revolt SFX,94.99,SFX,gold,650,Full,Black
EVGA GE,89.99,ATX,gold,800,False,Black
Super Flower Leadex III Gold,138.68,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,99.0,ATX,gold,650,Full,Black
Corsair RM750 (2019),249.95,ATX,gold,750,Full,Black
Corsair RM1000x,246.89,ATX,gold,1000,Full,
Asus ROG THOR P2 Gaming,379.99,ATX,platinum,1200,Full,Silver / Black
Logisys PS480D2,16.98,ATX,,480,False,
Enermax REVOLUTION D.F. 2,109.99,ATX,gold,850,Full,Black
Gigabyte P-B,,ATX,bronze,650,False,Black
EVGA 400 N1,49.45,ATX,,400,False,
EVGA GE,79.98,ATX,gold,700,False,Black
Asus ROG THOR P2 Gaming,,ATX,platinum,1000,Full,Silver / Black
SeaSonic PRIME PX-1300,330.0,ATX,platinum,1300,Full,Black
NZXT C1200,219.99,ATX,gold,1200,Full,Black
be quiet! Dark Power 13,289.89,ATX,titanium,1000,Full,Black
Thermaltake Smart BX1 650,,ATX,bronze,650,False,Black
SeaSonic VERTEX GX-1200,289.99,ATX,gold,1200,Full,Black / Silver
SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full,
Corsair RM750x White (2018),248.0,ATX,gold,750,Full,White / Black
SeaSonic FOCUS GX,166.98,ATX,gold,850,Full,Black
Asus TUF Gaming 850G,129.99,ATX,gold,850,Full,Black
Corsair HX1000i (2022),357.99,ATX,platinum,1000,Full,Black
Corsair SF600,239.0,SFX,platinum,600,Full,Black
Thermaltake TOUGHPOWER GF A3,89.99,ATX,gold,750,Full,Black
be quiet! Dark Power Pro 13,459.9,ATX,titanium,1600,Full,Black
