name,price,type,efficiency,wattage,modular,color
EVGA SuperNOVA 1200 P2,,ATX,platinum,1200,Full,
EVGA SuperNOVA 550 G3,,ATX,gold,550,Full,
SeaSonic PRIME 1300 Gold,281.99,ATX,gold,1300,Full,Black
Cooler Master G800,,ATX,gold,800,False,Black
be quiet! Pure Power 9 CM,105.39,ATX,bronze,600,Semi,Black
Thermaltake Toughpower SFX 600W Gold,125.38,SFX,gold,600,Full,Black
be quiet! System Power 9,114.11,ATX,bronze,600,False,Black
Corsair RM850 (2019),219.0,ATX,gold,850,Full,Black
Deepcool PF600 230V,,ATX,plus,600,False,Black
FSP Group Hydro PTM PRO,267.99,ATX,platinum,1200,Full,Black
Asus ROG THOR P2 Gaming EVA Edition,489.99,ATX,platinum,1000,Full,Black / Silver
SeaSonic G12 GM,159.37,ATX,gold,850,Semi,Black / Blue
SeaSonic B12 BC,,ATX,bronze,750,False,
EVGA SuperNOVA 1000 P2,,ATX,platinum,1000,Full,
Corsair TX750M Gold,262.43,ATX,gold,750,Semi,
EVGA 650 B5,,ATX,bronze,650,Full,Black
SeaSonic PRIME TX-750,210.99,ATX,titanium,750,Full,Black
Cooler Master MWE White V2 230V,,ATX,plus,650,False,Black
ARESGAME AGK,,ATX,gold,850,Full,Black / Red
Silverstone DA650 Gold,,ATX,gold,650,Full,Black / White
SeaSonic PRIME 600 Titanium,,ATX,titanium,600,Full,Black
Silverstone DA750 Gold,155.88,ATX,gold,750,Full,Black / White
Thermaltake Toughpower GF1 Snow - TT Premium,139.99,ATX,gold,850,Full,White
Corsair CX750F,219.99,ATX,bronze,750,Full,Black
Silverstone ST85F-GS-V2,129.99,ATX,gold,850,Full,
Silverstone SX750-PT,,SFX,platinum,750,Full,Black
Silverstone HELA 850R,208.08,ATX,platinum,850,Full,Black / Silver
SeaSonic B12 BC,,ATX,bronze,850,False,
Silverstone FX600 Platinum,183.98,Flex ATX,,600,False,Black
Cooler Master V750 SFX GOLD,,SFX,gold,750,Full,White
Corsair CX750,,ATX,bronze,750,False,
Thermaltake Smart BM2,,ATX,bronze,450,Semi,Black
Silverstone Strider Platinum,150.0,ATX,platinum,850,Full,
EVGA SuperNOVA 850 GA,,ATX,gold,850,Full,Black
Segotep GM,,ATX,gold,850,Full,Black
Corsair CX650F,170.99,ATX,bronze,650,Full,White / Black
Thermaltake Litepower,,ATX,,650,False,
Cooler Master V650 Gold V2,,ATX,gold,650,Full,Black
Azza ARGB,,ATX,bronze,650,False,Black
Corsair RM850x White,339.99,ATX,gold,850,Full,White / Black
Deepcool PK750D,,ATX,bronze,750,False,Black
be quiet! Pure Power 11 CM,114.89,ATX,gold,700,Semi,Black
FSP Group Hydro G Pro,,ATX,gold,850,Full,Black
GameMax RGB Rainbow,,ATX,gold,1050,Full,Black
Deepcool DQ-M-V2L,153.38,ATX,gold,850,Full,Black / Green
EVGA SuperNOVA 550 GA,153.8,ATX,gold,550,Full,Black
Asus ROG LOKI,,SFX,platinum,850,Full,White / Silver
iTek GF EVO,,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 G+,,ATX,gold,750,Full,Black
Deepcool PQ650M,103.99,ATX,gold,650,Full,Black
Montech TITAN GOLD 1200W,209.99,ATX,gold,1200,Full,Black
Athena Power AP-MTFX30,36.99,TFX,,300,False,
SHARKOON WPM Gold Zero 550,,ATX,gold,550,Semi,Black
Vetroo GV1000,155.99,ATX,gold,1000,Full,Black
Corsair VS450,399.99,ATX,plus,450,False,
SeaSonic FOCUS,178.17,ATX,platinum,750,Full,Black
Phanteks Revolt X,213.99,ATX,platinum,1000,Full,Black / Silver
Asus ROG LOKI,198.68,SFX,platinum,750,Full,Black / Silver
Corsair CX550F,,ATX,bronze,550,Full,White / Black
EVGA SuperNOVA 1000 T2,,ATX,titanium,1000,Full,
Antec High Current Gamer Gold,169.92,ATX,gold,750,Full,Black
Deepcool PK600D,,ATX,bronze,600,False,Black
EVGA 600 B1,,ATX,bronze,600,False,
Thermaltake Toughpower SFX,152.51,SFX,gold,750,Full,Black
SeaSonic M12II,,ATX,bronze,620,Full,
Gigabyte UD1000GM PG5,270.39,ATX,gold,1000,Full,Black
SHARKOON SilentStorm Cool Zero 650,141.69,ATX,gold,650,Full,Black
Corsair HX850i,459.99,ATX,platinum,850,Full,
Silverstone SX500-G,114.99,SFX,gold,500,Full,
In Win P75F,,ATX,gold,750,False,Black
Silverstone Strider Titanium,,ATX,titanium,1300,Full,Black / Blue
Silverstone SX700-PT,165.26,SFX,platinum,700,Full,Black
Corsair CX500M,179.99,ATX,bronze,500,Semi,
Asus TUF Gaming B,149.99,ATX,bronze,550,False,Black
be quiet! Pure Power 11 FM 650,,ATX,gold,650,Full,Black
Deepcool DA600N,76.99,ATX,bronze,600,False,Black
EVGA SuperNOVA 750 P2,229.99,ATX,platinum,750,Full,
Cougar GEX,84.99,ATX,gold,650,Full,Black
KOLINK Classic Power,,ATX,bronze,500,False,Black / Red
PowerSpec PS 750BSM,,ATX,bronze,750,Semi,Black
Cougar VTE,69.98,ATX,bronze,600,False,Black
Corsair CX650 (2017),157.44,ATX,bronze,650,False,
SeaSonic G12 GM,197.0,ATX,gold,550,Semi,Black / Blue
EVGA 1000 GQ,325.98,ATX,gold,1000,Semi,
Logisys PS480D,16.98,ATX,,480,False,
EVGA 750 B5,144.99,ATX,bronze,750,Full,Black
SeaSonic FOCUS,149.98,ATX,platinum,650,Full,Black
Corsair RM650x,213.2,ATX,gold,650,Full,
SeaSonic SSP-300SFG,89.99,SFX,gold,300,False,
Inter-Tech Argus APS,,ATX,,720,False,Black / Orange
SeaSonic G12 GC,,ATX,gold,850,False,Black / Blue
Phanteks AMP,,ATX,gold,1000,Full,White
PowerSpec GFM,109.99,ATX,gold,750,Full,Black
SeaSonic PRIME,315.0,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 G1,,ATX,gold,650,Full,
Cooler Master M2000,,ATX,platinum,2000,Full,Black
EVGA SuperNOVA 850 G+,249.99,ATX,gold,850,Full,
FSP Group Dagger Pro,134.99,SFX,gold,650,Full,Black
FSP Group Hydro Ti PRO,,ATX,titanium,1000,Full,Black
EVGA SuperNOVA 1300 G+,359.98,ATX,gold,1300,Full,Black
SeaSonic FOCUS,137.98,ATX,gold,750,Semi,Black
EVGA SuperNOVA 650 G7,129.99,ATX,gold,650,Full,Black / Blue
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full,Black / Blue
Thermaltake Toughpower GF1 ARGB,207.61,ATX,gold,850,Full,
Cooler Master MWE Gold 750,,ATX,gold,750,Full,Black
FSP Group HV PRO,,ATX,plus,650,False,Black
GAMDIAS KRATOS P1 G,89.99,ATX,gold,750,False,Black
EVGA SuperNOVA 1300 G2,,ATX,gold,1300,Full,
EVGA SuperNOVA 850 P2,,ATX,platinum,850,Full,
Xilence XP500R6,86.4,ATX,,500,False,Black / Red
Corsair TX850M Gold,316.77,ATX,gold,850,Semi,
SeaSonic PRIME Fanless,298.98,ATX,titanium,700,Full,Black
GameMax GM,,ATX,bronze,800,Semi,Black
Cooler Master MWE Bronze V2,,ATX,bronze,450,False,Black
be quiet! Pure Power 11,,ATX,bronze,350,False,Black
be quiet! Dark Power Pro 12,,ATX,titanium,1500,Full,Black
Cooler Master V750 Gold V2,,ATX,gold,750,Full,Black
Corsair CS650M,,ATX,gold,650,Semi,
Cooler Master V850 Gold i,134.99,ATX,gold,850,Full,Black / Gold
Corsair CX430,,ATX,bronze,430,False,
SeaSonic PRIME,189.99,ATX,gold,850,Full,Black
Deepcool PF650 230V,,ATX,plus,650,False,Black
EVGA 500 B1,,ATX,bronze,500,False,
Deepcool PF400 230V,,ATX,plus,400,False,Black
be quiet! Pure Power 11 FM 750,,ATX,gold,750,Full,Black
Super Flower Leadex Platinum SE,149.99,ATX,platinum,1000,Full,White
NZXT E850,159.99,ATX,gold,850,Full,Black
Super Flower Leadex Titanium,319.99,ATX,titanium,1000,Full,Black
PowerSpec PS 650GSM,94.99,ATX,gold,650,Semi,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,False,Black
Antec NeoECO Gold,228.0,ATX,gold,750,Full,
Thermaltake TR2,,ATX,,600,False,
NZXT C650,,ATX,bronze,650,Semi,Black
Montech TITAN GOLD 1000W,189.92,ATX,gold,1000,Full,Black
Thermaltake Smart RGB,97.21,ATX,plus,600,False,
Corsair AX1200,,ATX,gold,1200,Full,
Silverstone Strider Platinum S,265.07,ATX,platinum,1000,Full,Black
Deepcool PF700 230V,,ATX,plus,700,False,Black
Silverstone Essential,94.99,ATX,gold,750,False,Black / Yellow
Cooler Master MWE Bronze V2,,ATX,bronze,600,False,Black
Corsair RM750x White,279.0,ATX,gold,750,Full,White / Black
SeaSonic FOCUS Gold,137.98,ATX,gold,750,Semi,
Silverstone SFX,94.16,SFX,bronze,450,False,Black
Deepcool PK450D,,ATX,bronze,450,False,Black
EVGA SuperNOVA NEX650G Gold,,ATX,gold,650,Full,
EVGA SuperNOVA 1000 G3,379.99,ATX,gold,1000,Full,
be quiet! System Power 9,,ATX,bronze,500,False,Black
Deepcool DA700N,87.99,ATX,bronze,700,False,Black
Cooler Master V550 SFX GOLD,,SFX,gold,550,Full,Black
Xilence XP600R6,80.98,ATX,,600,False,Black / Red
Super Flower LEADEX VII XG,154.99,ATX,gold,1000,Full,Black
be quiet! Straight Power 11 1000W,302.0,ATX,gold,1000,Full,
Thermaltake Toughpower GX1 RGB,,ATX,gold,700,False,Black
SeaSonic B12 BC,,ATX,bronze,550,False,
Corsair HX750,263.64,ATX,gold,750,Semi,
Cooler Master MWE Gold,,ATX,gold,550,Full,Black
Corsair Vengeance 750M,,ATX,silver,750,Semi,
Super Flower Leadex Platinum,134.99,ATX,platinum,850,Full,Black
EVGA SuperNOVA 650 G+,174.94,ATX,gold,650,Full,Black
Zalman ZM-600-GT,,ATX,bronze,600,Semi,
Thermaltake Smart RGB,,ATX,plus,700,False,
CoolMax V-400,25.63,ATX,,400,False,
Cooler Master MWE White V2 230V,,ATX,plus,550,False,Black
Corsair HX850,,ATX,gold,850,Semi,
BitFenix Formula Bronze,,ATX,bronze,700,False,Black
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
Thermaltake Toughpower SFX,,SFX,gold,1000,Full,Black
Chieftec GPS-700A8,,ATX,bronze,700,False,Black / White
ARESGAME AGT,,ATX,gold,1000,Full,Black
SeaSonic M12II EVO,,ATX,bronze,520,Full,Black
SeaSonic FOCUS Gold,125.82,ATX,gold,650,Semi,
SeaSonic CORE GM,200.09,ATX,gold,500,Semi,Black
EVGA 430 W1,,ATX,plus,430,False,
NZXT C550,,ATX,bronze,550,Semi,Black
Asus ROG Strix Aura Edition,,ATX,gold,1000,Full,Black
SeaSonic PRIME PX,197.98,ATX,platinum,750,Full,Black / Silver
Fractal Design Ion+ 2 Platinum,,ATX,platinum,660,Full,Black
Cooler Master MWE Gold 1050 - V2,,ATX,gold,1050,Full,Black
Antec CSK,,ATX,bronze,550,False,Black / Yellow
Mars Gaming MPII650,,ATX,,650,False,Black / Red
Cooler Master MWE Bronze 650,,ATX,bronze,650,False,Black
Corsair HX750i,459.99,ATX,platinum,750,Full,
Deepcool PX-G,208.68,ATX,gold,1000,Full,Black
SeaSonic PRIME,221.19,ATX,gold,750,Full,Black
Silverstone SFX,153.59,SFX,platinum,700,Full,
Corsair RM1000,440.0,ATX,gold,1000,Full,
SeaSonic FOCUS SGX,,SFX,gold,500,Full,Black
SeaSonic FOCUS,127.98,ATX,gold,650,Semi,Black
Cooler Master XG850 Plus,202.02,ATX,platinum,850,Full,Black
Corsair CX450 (2017),119.99,ATX,bronze,450,False,
Corsair VS650,,ATX,,650,False,
Corsair AX860,,ATX,platinum,860,Full,
Apevia ATX-JV650W,,ATX,,650,False,
EVGA 450 BT,,ATX,bronze,450,False,
Lian Li PE,,SFX,platinum,750,Full,
Corsair AX760,699.99,ATX,platinum,760,Full,
Super Flower Leadex III Gold,114.99,ATX,gold,650,Full,Black
Thermaltake Litepower,,ATX,,550,False,
Antec EARTHWATTS GOLD PRO 650,120.01,ATX,gold,650,Semi,Black
Fractal Design Ion+ 2 Platinum,,ATX,platinum,760,Full,Black
Silverstone SX650-G,132.24,SFX,gold,650,Full,
Deepcool DA500,81.59,ATX,bronze,500,False,Black / Gold
NZXT C750,,ATX,bronze,750,Semi,Black
Corsair RM550x,229.99,ATX,gold,550,Full,
Deepcool PF550 230V,,ATX,plus,550,False,Black
ARESGAME AGS,,ATX,gold,750,Semi,Black / Red
SeaSonic PRIME PX-1600 ATX 3.0,509.99,ATX,platinum,1600,Full,Black / Silver
Cougar VTE X2,82.98,ATX,plus,750,False,Black
Corsair GS800,,ATX,bronze,800,False,
Deepcool PK700D,,ATX,bronze,700,False,Black
Fractal Design Ion+ 660P,,ATX,platinum,660,Full,Black
NOX Hummer X,,ATX,gold,650,Full,Black
Silverstone Strider Platinum,129.99,ATX,platinum,650,Full,
SHARKOON SilentStorm Cool Zero 750,153.79,ATX,gold,750,Full,Black
Chieftec GPS-600A8,,ATX,plus,600,False,
GAMDIAS KRATOS M1 B,,ATX,bronze,600,False,Black
Corsair RM650,193.41,ATX,gold,650,Full,
Silverstone SX-G,145.26,SFX,gold,700,Full,Black
Antec High Current Gamer Gold,,ATX,gold,1000,Full,Black
Deepcool DQ750-M-V2L,,ATX,gold,750,Full,White / Black
FSP Group Dagger Pro,177.84,SFX,gold,850,Full,Black / Gold
Apevia ATX-JP1000W,94.84,ATX,bronze,1000,False,
Enermax Revolution D.F.,119.99,ATX,gold,750,Full,Black / Silver
EVGA 700 BQ,,ATX,bronze,700,Semi,Black
EVGA N1,84.99,ATX,,550,False,
Silverstone Essential,119.99,ATX,gold,650,False,Black
Super Flower LEADEX VII XG,139.99,ATX,gold,850,Full,Black
Antec NeoECO Gold ZEN,,ATX,gold,500,False,Black / Gold
SeaSonic CORE GC-500,,ATX,gold,500,False,Black / Yellow
Antec High Current Gamer Gold,,ATX,gold,650,Full,Black
EVGA 600 GQ,,ATX,gold,600,Semi,Black
SilentiumPC Supremo FM2,,ATX,gold,750,Full,Black
be quiet! Straight Power 11,129.49,ATX,platinum,550,Full,Black
Corsair VS350,,ATX,,350,False,
Apex AG-M,,ATX,gold,750,Full,Black
Enermax Revolution D.F.,122.98,ATX,gold,850,Full,Black / Silver
Silverstone DA1650 Gold,,ATX,gold,1650,Full,Black / White
Segotep GP,,ATX,gold,600,False,Black
Phanteks Revolt Pro,,ATX,gold,1000,Full,Silver / Black
FSP Group FSP400-60FGGBA,109.99,Flex ATX,gold,400,False,
EVGA 700 GQ,,ATX,gold,700,Semi,Black
Enermax CYBERBRON,,ATX,bronze,600,False,Black / Silver
ADATA XPG PYLON,522.0,ATX,bronze,750,False,Black
Antec VP PLUS,,ATX,plus,700,False,Black
BitFenix Formula Bronze,,ATX,bronze,600,False,Black
be quiet! Straight Power 12,,ATX,platinum,1000,Full,Black
EVGA 600 BA,,ATX,bronze,600,False,Black
SeaSonic FOCUS Plus 550 Gold,207.99,ATX,gold,550,Full,
SeaSonic PRIME TX-1600 ATX 3.0,,ATX,titanium,1600,Full,Black / Silver
Corsair AX1500i,,ATX,titanium,1500,Full,
Xilence XP400R6,79.47,ATX,,400,False,Black / Red
Corsair RM1000i,,ATX,gold,1000,Full,
Corsair RM750i,,ATX,gold,750,Full,
SeaSonic M12II,,ATX,bronze,620,False,
NOX URANO TX,,ATX,,850,False,
Razer Katana Chroma,335.99,ATX,platinum,850,Full,Black
Cooler Master XG750 Plus,157.65,ATX,platinum,750,Full,Black
Aerocool AER-P7-P650W,,ATX,platinum,650,Full,
Cougar BXM750,74.99,ATX,bronze,750,Semi,Orange / Black
GameMax GM-1050,,ATX,silver,1050,Semi,
be quiet! Dark Power 12,,ATX,titanium,1000,Full,Black
Corsair CS750M,,ATX,gold,750,Semi,
EVGA SuperNOVA 1000 G2,,ATX,gold,1000,Full,
CoolMax ZX-500,67.29,ATX,plus,500,False,
Silverstone Strider Titanium,329.99,ATX,titanium,1100,Full,Black / Blue
Antec NeoECO Gold ZEN,,ATX,gold,600,False,Black / Gold
Corsair AX850,499.99,ATX,titanium,850,Full,Black / Silver
Deepcool PX-G,159.99,ATX,gold,850,Full,Black
Corsair VS500,179.99,ATX,plus,500,False,
Corsair CX850M,,ATX,bronze,850,Semi,
Corsair TX750,,ATX,plus,750,False,
Phanteks AMP,,ATX,gold,550,Full,Black
Corsair AX850,498.4,ATX,gold,850,Full,
Gigabyte GP-G750H,,ATX,gold,750,Semi,Black
ADATA XPG CYBERCORE,199.99,ATX,platinum,1300,Full,Black / Silver
Apevia Prestige,,ATX,gold,1000,False,Black
Thermaltake Smart BX1 550,,ATX,bronze,550,False,Black
be quiet! Straight Power 11 650W,,ATX,gold,650,Full,
EVGA SuperNOVA 850 G7,,ATX,gold,850,Full,Black / Blue
SeaSonic SSP-300SUG,91.0,Flex ATX,gold,300,False,
Thermaltake Thermaltake TP-750M,108.99,ATX,gold,750,Semi,
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,850,Full,Black
SeaSonic PRIME Ultra Platinum 1000,390.31,ATX,platinum,1000,Full,Black
Corsair CX750 (2017),,ATX,bronze,750,False,
Cougar VTE X2,59.99,ATX,plus,600,False,Black
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,Black / Gold
Thermaltake TR2 S,,ATX,plus,650,False,
Thermaltake Smart BX1 RGB 650,137.75,ATX,bronze,650,False,Black
Super Flower LEADEX VII XG,184.99,ATX,gold,1300,Full,Black
SeaSonic PRIME Ultra Titanium,429.0,ATX,titanium,850,Full,
Antec Signature Platinum,,ATX,platinum,1000,Full,Black
Corsair RM850i,,ATX,gold,850,Full,
Silverstone TX500-G,,TFX,gold,500,False,Black
Thermaltake Toughpower GF1 ARGB,,ATX,gold,750,Full,
Corsair VS600 (2020),,ATX,bronze,600,False,Black
SeaSonic S12III,194.39,ATX,bronze,550,False,Black
Phanteks AMP,,ATX,gold,650,Full,Black
In Win IP-S200DF1-0,52.02,TFX,,200,False,
NZXT C (2019),129.99,ATX,gold,750,Full,Black
SeaSonic PRIME,,ATX,gold,650,Full,Black
Corsair CX450M (2021),,ATX,bronze,450,Semi,Black
Silverstone Essential,100.87,ATX,bronze,750,False,Black
EVGA SuperNOVA NEX750B,,ATX,bronze,750,Semi,
SeaSonic S12II,262.43,ATX,bronze,520,False,
FSP Group FSP300-60LG,148.02,Mini ITX,bronze,300,False,
Super Flower Leadex Platinum SE,249.99,ATX,platinum,1000,Full,Black
be quiet! Dark Power 12,,ATX,titanium,750,Full,Black
Antec NeoECO Gold,,ATX,gold,850,Full,
Cougar GEX,,ATX,gold,750,Full,Black
Antec CSK,,ATX,bronze,650,False,Black / Yellow
be quiet! Pure Power 11 FM 550,,ATX,gold,550,Full,Black
Apevia Spirit,,ATX,,600,False,
Corsair VS500 (2020),,ATX,bronze,500,False,Black
In Win P85,133.91,ATX,gold,850,Full,Black
Super Flower Leadex Platinum,699.99,ATX,platinum,1600,Full,Black
FSP Group Hyper M85+,86.14,ATX,bronze,650,Semi,Black
NZXT C (2019),,ATX,gold,650,Full,Black
Thermaltake Smart Pro RGB,,ATX,bronze,850,Full,
Corsair Vengeance 650M,,ATX,silver,650,Semi,Black
GAMDIAS KRATOS M1 B,,ATX,bronze,550,False,Black
NOX Hummer GD,,ATX,gold,750,False,
Cooler Master Silent Pro Gold,,ATX,gold,800,Semi,
G.Skill PS750G,,ATX,gold,750,Full,Black
Montech CENTURY,,ATX,gold,850,Full,Black
Silverstone SFX,,SFX,bronze,300,False,
Cooler Master MWE GOLD 650 V2,,ATX,gold,650,False,Black
Deepcool PX-G,239.99,ATX,gold,1200,Full,Black
SeaSonic Prime Fanless PX-450,263.0,ATX,platinum,450,Full,Black
Cooler Master MWE Bronze 550,,ATX,bronze,550,False,Black
Corsair AX860i,,ATX,platinum,860,Full,
Antec CSK,,ATX,bronze,750,Semi,Black / Yellow
Silverstone Strider,99.99,ATX,bronze,700,Full,
Sparkle FSP350-60GNV,69.99,SFX,,350,False,
GameMax GM,,ATX,bronze,500,Semi,Black
Segotep GM,,ATX,gold,850,Full,White
SeaSonic G,,ATX,gold,550,Semi,
SHARKOON SilentStorm,145.38,SFX,gold,500,Full,Black
EVGA SuperNOVA 750 P6,184.38,ATX,platinum,750,Full,Black / Silver
be quiet! Pure Power 11 CM,,ATX,gold,600,Semi,Black
Thermaltake Smart,,ATX,bronze,650,False,
EVGA 500 BA,,ATX,bronze,500,False,Black
be quiet! Straight Power 12,,ATX,platinum,850,Full,Black
be quiet! Straight Power 12,,ATX,platinum,1200,Full,Black
Cooler Master MWE 500,,ATX,plus,500,False,Black
Thermaltake Smart RGB,,ATX,plus,500,False,Black
NZXT C (2019),,ATX,gold,850,Full,Black
Gigabyte B700H,,ATX,bronze,700,Semi,Black
Corsair CS550M,,ATX,gold,550,Semi,
EVGA SuperNOVA 1000 P5,,ATX,platinum,1000,Full,Blue / Black
Xilence XP1050MR9,210.89,ATX,gold,1050,Full,Black / Red
Deepcool PM650D,108.28,ATX,gold,650,False,Black
GAMDIAS KRATOS P1 G,,ATX,gold,650,False,Black
EVGA 750 N1,,ATX,,750,False,
ADATA XPG PYLON,,ATX,bronze,450,False,Black
Thermaltake Smart BX1 RGB 750,,ATX,bronze,750,False,Black
FSP Group HYPER K PRO,,ATX,plus,700,False,Black / Yellow
Azza PSAZ-650B14,,ATX,,650,False,
NZXT HALE82 V2 550W,,ATX,bronze,550,Full,
PC Power & Cooling Silencer,191.11,ATX,platinum,1050,Full,
Phanteks AMP,,ATX,gold,750,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,700,False,Black
Thermaltake Toughpower Grand RGB 650 SE,,ATX,gold,650,Full,Black
be quiet! Pure Power 10,150.0,ATX,silver,600,False,
EVGA SuperNOVA 650 GS,,ATX,gold,650,Full,
Cougar VTX,,ATX,bronze,500,False,Black
Corsair RM850,,ATX,gold,850,Full,
EVGA SuperNOVA 650 P6,159.99,ATX,platinum,650,Full,Black / Silver
SeaSonic PRIME PX,,ATX,platinum,850,Full,Black / Silver
Silverstone Strider Platinum,143.99,ATX,platinum,750,Full,
be quiet! Pure Power 11 FM 850,,ATX,gold,850,Full,Black
Cooler Master V1000,,ATX,gold,1000,Full,
SilentiumPC Vero L2,,ATX,bronze,600,False,Black
Cooler Master G600,,ATX,gold,600,False,Black
Enermax Platimax D.F.,199.99,ATX,platinum,1050,Full,Black
Thermaltake Toughpower,,ATX,gold,650,Semi,
ARESGAME AGS,90.99,ATX,gold,850,Semi,Black / Red
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,1000,Full,Black
Super Flower Golden Green HX,,ATX,gold,350,False,
Thermaltake Toughpower GF1 Snow - TT Premium,,ATX,gold,650,Full,White
FSP Group Hydro G Pro,,ATX,gold,650,Full,Black
Apex AL-8250SFX,77.55,SFX,,250,False,
Cooler Master V850 Gold V2,,ATX,gold,850,Full,Black
Deepcool DQ650-M-V2L,,ATX,gold,650,Full,Black
Xigmatek NRP-PC602,,ATX,bronze,600,False,
EVGA 450 W3,,ATX,plus,450,False,Black
Enhance ENP-7660,,Flex ATX,platinum,600,False,Silver
Corsair VS450,,ATX,,450,False,
Fractal Design Anode Bronze,139.49,ATX,bronze,650,Semi,Black
FSP Group Dagger Pro,159.99,SFX,gold,750,Full,Black / Gold
SeaSonic VERTEX PX-1200,,ATX,platinum,1200,Full,Black / Silver
SeaSonic Core GC,,ATX,gold,650,False,Black
PowerSpec PSX 850GFM,,ATX,gold,850,Full,Black
SeaSonic PRIME Ultra Platinum 750,197.98,ATX,platinum,750,Full,Black
Silverstone FX500-G,,Flex ATX,gold,500,False,Black
Thermaltake Toughpower PF3,,ATX,platinum,1050,Full,Black
LEPA MaxBron,93.68,ATX,bronze,1000,Semi,
Antec NeoECO Gold ZEN,,ATX,gold,700,False,Black / Gold
Silverstone Essential,,ATX,gold,550,Semi,Black
SeaSonic FOCUS Plus Platinum,,ATX,platinum,550,Full,
FSP Group HYPER K PRO,,ATX,plus,600,False,Black / Yellow
Corsair TX650,299.99,ATX,plus,650,False,
Corsair HX1000,499.99,ATX,plus,1000,Semi,
Cooler Master MasterWatt 750 TUF Gaming Edition,,ATX,bronze,750,Semi,Black / Gray
be quiet! Dark Power Pro 11,139.9,ATX,platinum,550,Semi,
Cooler Master V1200,306.89,ATX,platinum,1200,Full,
EVGA 550 B3,,ATX,bronze,550,Full,
Silverstone Strider,114.99,ATX,gold,550,Full,
Cougar GEX,,ATX,gold,850,Full,Black
EVGA 650 N1,,ATX,,650,False,
EVGA 460 BP,,ATX,bronze,460,False,Black
FSP Group HEXA+,,ATX,,500,False,
SeaSonic M12II,,ATX,bronze,520,Full,
PowerSpec PS 550BF,,ATX,bronze,550,False,Black
Silverstone Strider,,ATX,plus,600,False,
Corsair RM650i,,ATX,gold,650,Full,
Super Flower Leadex Titanium,239.99,ATX,titanium,850,Full,Black
ADATA XPG CYBERCORE,229.99,ATX,platinum,1000,Full,Black / Silver
be quiet! Dark Power Pro 11,159.9,ATX,platinum,650,Semi,
Thermaltake Toughpower PF3,,ATX,platinum,1200,Full,Black
SeaSonic Prime Fanless PX-500,290.0,ATX,platinum,500,Full,Black
Fractal Design Ion+ 860P,,ATX,platinum,860,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,500,False,Black
GAMDIAS KRATOS E1,,ATX,plus,600,False,Black
be quiet! Pure Power 11 FM 1000,,ATX,gold,1000,Full,Black
MSI MAG A600DN,,ATX,plus,600,False,Black
Thermaltake Litepower,,ATX,,450,False,
EVGA 610 BP,119.0,ATX,bronze,610,False,Black
Silverstone TX700-G,184.75,TFX,gold,700,False,Black
SHARKOON SilentStorm Cool Zero 850,257.0,ATX,gold,850,Full,Black
SeaSonic 1000FX WHITE,,ATX,gold,1000,Full,White
Antec High Current Gamer Gold,,ATX,gold,850,Full,Black
Cooler Master V650,,ATX,gold,650,Full,
SeaSonic PRIME Platinum,,ATX,platinum,1000,Full,
Xilence XP700R6,139.0,ATX,,700,False,Black / Red
Super Flower Leadex III Gold,104.99,ATX,gold,550,Full,Black
PC Power & Cooling PM0600,99.99,ATX,bronze,600,Semi,Black / Red
Cooler Master MWE,,ATX,bronze,600,False,Black
EVGA SuperNOVA 750 B2,,ATX,bronze,750,Semi,
Deepcool DQ750ST,,ATX,gold,750,False,
be quiet! Straight Power 11 450W,307.17,ATX,gold,450,Full,
be quiet! Pure Power 11 CM,,ATX,gold,400,Semi,Black
Gigabyte PW400,,ATX,plus,400,False,Black
be quiet! System Power 9,,ATX,bronze,400,False,Black
Rosewill Capstone,,ATX,gold,450,Semi,
Azza PSAZ-750PT14,,ATX,platinum,750,Semi,
Deepcool PF350 230V,,ATX,plus,350,False,Black
Antec VP PLUS,,ATX,plus,500,False,Black
Corsair TX850,499.99,ATX,plus,850,False,
Corsair HX1050,,ATX,gold,1050,Semi,
Cooler Master G650M,,ATX,bronze,650,Semi,
SeaSonic PRIME SNOWSILENT,,ATX,titanium,750,Full,White
EVGA SuperNOVA 550 GS,,ATX,gold,550,Full,
Thermaltake Smart SE,,ATX,bronze,630,Semi,
Cooler Master MWE GOLD 850 V2 FULL MODULAR,,ATX,gold,850,Full,Black
SeaSonic PRIME Ultra Titanium,,ATX,titanium,650,Full,
SeaSonic VERTEX PX-1000,,ATX,platinum,1000,Full,Black / Silver
SeaSonic Platinum,,ATX,platinum,400,Full,
Fractal Design Anode Bronze,,SFX,bronze,450,False,Black
Deepcool PF450 230V,,ATX,plus,450,False,Black
be quiet! Dark Power 12,,ATX,titanium,850,Full,Black
Corsair AX750,,ATX,gold,750,Full,
