name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,True
Intel Core i7-9700KF,297.0,8,3.6,4.9,95,,False
Intel Core i7-3770K,275.0,4,3.5,,77,Intel HD Graphics 4000,True
AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,,True
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,False
Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,True
Intel Celeron G5900,39.99,2,3.4,,58,Intel UHD Graphics 610,False
Intel Core i7-4790,319.66,4,3.6,4.0,84,Intel HD Graphics 4600,True
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,True
Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True
Intel Core i3-8100,163.0,4,3.6,,65,Intel UHD Graphics 630,False
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,True
AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,,True
AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,True
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,False
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True
Intel Core i9-11900KF,,8,3.5,5.3,125,,True
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False
Intel Celeron G4900,34.99,2,3.1,,65,Intel UHD Graphics 610,False
Intel Core i7-2600,155.62,4,3.4,,95,Intel HD Graphics 2000,True
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False
AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,True
Intel Xeon E5-2650 V4,48.01,12,2.2,2.9,105,,True
Intel Core i5-4570,121.16,4,3.2,,84,Intel HD Graphics 4600,False
Intel Core i5-3570K,125.0,4,3.4,,77,Intel HD Graphics 4000,False
Intel Core i3-4150,77.14,2,3.5,,54,Intel HD Graphics 4400,True
Intel Core i5-9600KF,230.0,6,3.7,4.6,95,,False
AMD FX-6300,,6,3.5,,95,,False
Intel Core i5-2400,170.99,4,3.1,,95,Intel HD Graphics 2000,False
Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True
Intel Pentium E2220,22.99,2,2.4,,65,,False
AMD Ryzen 5 3500,,6,3.6,4.1,65,,False
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False
AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,True
Intel Pentium Gold G7400,89.99,2,3.7,,46,Intel UHD Graphics 710,True
AMD Athlon 3000G (14nm),98.99,2,3.5,,35,Radeon Vega 3,True
AMD Ryzen 9 3950X,1893.0,16,3.5,4.7,105,,True
AMD Threadripper 1950X,541.64,16,3.4,4.0,180,,True
Intel Pentium Gold G6400,53.94,2,4.0,,58,Intel UHD Graphics 610,True
AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,True
Intel Core i3-6100,100.0,2,3.7,,51,Intel HD Graphics 530,True
AMD Ryzen 3 1200 (14nm),115.0,4,3.1,3.4,65,,False
Intel Xeon E5-2660,28.99,8,2.2,3.0,95,,True
AMD 2650,,2,1.45,,25,Radeon HD 8240,False
Intel Core i7-8700K,355.75,6,3.7,4.7,95,Intel UHD Graphics 630,True
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False
Intel Core i9-12900F,432.0,16,2.4,5.1,65,,True
Intel Core 2 Duo E8400,27.55,2,3.0,,65,,False
Intel Core i7-5820K,,6,3.3,3.6,140,,True
AMD Threadripper 1900X,179.99,8,3.8,4.0,180,,True
Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,True
Intel Core i7-6900K,164.9,8,3.2,3.7,140,,True
Intel Core i5-4670K,144.25,4,3.4,,84,Intel HD Graphics 4600,False
AMD Threadripper 1920X,280.0,12,3.5,4.0,180,,True
Intel Core i7-4790K,200.0,4,4.0,4.4,88,Intel HD Graphics 4600,True
Intel Core i9-10900X,508.0,10,3.7,4.7,165,,True
Intel Core i7-6850K,165.0,6,3.6,3.8,140,,True
Intel Core i5-2500K,234.0,4,3.3,,95,Intel HD Graphics 3000,False
Intel Core i3-2100,49.0,2,3.1,,65,Intel HD Graphics 2000,True
Intel Core i3-7350K,59.99,2,4.2,,60,Intel HD Graphics 630,True
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True
AMD FX-8320,109.0,8,3.5,,125,,False
AMD Ryzen 5 3600X,,6,3.8,4.4,95,,True
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,False
Intel Xeon E5-2687W V4,2660.0,12,3.0,3.5,160,,True
Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False
Intel Core i3-7100,103.0,2,3.9,,51,Intel HD Graphics 630,True
Intel Pentium G3260,,2,3.3,,53,Intel HD Graphics,False
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False
Intel Core i5-3570,,4,3.4,,77,Intel HD Graphics 2500,False
Intel Core i7-2700K,95.0,4,3.5,,95,Intel HD Graphics 3000,True
AMD Ryzen 7 3800X,,8,3.9,4.5,105,,True
Intel Core i5-13600,,14,2.7,5.0,65,Intel UHD Graphics 770,True
Intel Celeron G5925,36.97,2,3.6,,58,Intel UHD Graphics 610,False
Intel Core i7-6800K,195.0,6,3.4,3.6,140,,True
