name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Kingston HyperX Fury 16 GB,,"[4, 3200]","[2, 8]",,Black / Silver,10.0,16.0
Corsair Vengeance 16 GB,79.98,"[3, 1600]","[2, 8]",4.999,Black / Yellow,11.25,9.0
G.Skill Ripjaws S5 64 GB,192.99,"[5, 5600]","[2, 32]",3.015,Black,10.0,28.0
TEAMGROUP T-Create Expert 32 GB,77.99,"[5, 6000]","[2, 16]",2.437,Black,12.667,38.0
Corsair Vengeance 32 GB,98.99,"[5, 6000]","[2, 16]",3.093,Gray,12.0,36.0
Corsair Vengeance RGB 32 GB,99.99,"[5, 6000]","[2, 16]",3.125,Black,12.0,36.0
Corsair Dominator Platinum RGB 64 GB,244.99,"[5, 5600]","[2, 32]",3.828,White,14.286,40.0
TEAMGROUP T-Create Expert 64 GB,169.99,"[5, 6000]","[2, 32]",2.656,Black,11.333,34.0
Corsair Vengeance RGB 32 GB,127.99,"[5, 6000]","[2, 16]",4.0,Gray,10.0,30.0
Patriot Viper 4 Blackout 64 GB,109.99,"[4, 3600]","[2, 32]",1.719,Black,10.0,18.0
Corsair Dominator Platinum RGB 64 GB,334.99,"[5, 6800]","[2, 32]",5.234,Black,11.765,40.0
Silicon Power XPOWER Turbine 32 GB,48.97,"[4, 3200]","[2, 16]",1.53,Blue,10.0,16.0
TEAMGROUP T-Create Expert 32 GB,57.99,"[4, 3600]","[2, 16]",1.812,Gray,10.0,18.0
G.Skill Trident Z Royal 32 GB,99.99,"[4, 3600]","[2, 16]",3.125,Silver,10.556,19.0
TEAMGROUP T-Create Classic 32 GB,72.98,"[5, 5600]","[2, 16]",2.281,Black,16.429,46.0
TEAMGROUP T-Create Classic 16 GB,29.99,"[4, 3200]","[2, 8]",1.874,Silver,13.75,22.0
Crucial CT8G4DFRA32A 8 GB,17.98,"[4, 3200]","[1, 8]",2.248,Green,13.75,22.0
G.Skill Ripjaws V 64 GB,117.99,"[4, 3600]","[2, 32]",1.844,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,86.99,"[5, 5600]","[2, 16]",2.718,White,11.429,32.0
ADATA XPG SPECTRIX D50 16 GB,49.99,"[4, 3200]","[2, 8]",3.124,White,10.0,16.0
TEAMGROUP T-Force Vulcan 32 GB,79.98,"[5, 5600]","[2, 16]",2.499,Black,12.857,36.0
TEAMGROUP T-Force Delta RGB 16 GB,44.99,"[4, 3200]","[2, 8]",2.812,White,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,1130.48,"[5, 5600]","[2, 16]",35.328,White / Black,12.857,36.0
TEAMGROUP T-Force Delta RGB 16 GB,44.99,"[4, 3200]","[2, 8]",2.812,Black,10.0,16.0
Crucial CT2K8G4DFRA32A 16 GB,29.99,"[4, 3200]","[2, 8]",1.874,Green,13.75,22.0
Gigabyte AORUS 32 GB,84.99,"[5, 5200]","[2, 16]",2.656,Black,15.385,40.0
TEAMGROUP Elite 32 GB,48.49,"[4, 3200]","[2, 16]",1.515,Black,13.75,22.0
G.Skill Trident Z5 RGB 64 GB,229.99,"[5, 6400]","[2, 32]",3.594,Silver / Black,10.0,32.0
TEAMGROUP T-Create Classic 32 GB,,"[5, 6000]","[2, 16]",,Black,16.0,48.0
Corsair Vengeance LPX 64 GB,119.99,"[4, 3600]","[2, 32]",1.875,Black,10.0,18.0
G.Skill Trident Z RGB 32 GB,109.99,"[4, 3600]","[2, 16]",3.437,Black,8.889,16.0
Corsair Vengeance RGB RT 32 GB,109.99,"[4, 3600]","[2, 16]",3.437,Black,8.889,16.0
Corsair Vengeance RGB 64 GB,319.99,"[5, 6600]","[4, 16]",5.0,Black / Gray,9.697,32.0
G.Skill Ripjaws V 16 GB,41.99,"[4, 3600]","[2, 8]",2.624,Black,10.0,18.0
Corsair Vengeance RGB Pro 32 GB,114.99,"[4, 3200]","[4, 8]",3.593,White,10.0,16.0
Corsair Vengeance RGB Pro 64 GB,204.99,"[4, 3600]","[4, 16]",3.203,Black,10.0,18.0
TEAMGROUP Elite 16 GB,35.99,"[5, 4800]","[2, 8]",2.249,Black,16.667,40.0
G.Skill Trident Z RGB 16 GB,56.99,"[4, 3200]","[2, 8]",3.562,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,54.83,"[4, 3600]","[2, 8]",3.427,Black / Yellow,8.889,16.0
Corsair Vengeance LPX 32 GB,79.99,"[4, 3600]","[4, 8]",2.5,Black / Yellow,10.0,18.0
TEAMGROUP T-Force Vulcan 32 GB,79.98,"[5, 6000]","[2, 16]",2.499,Black,12.667,38.0
Corsair Vengeance LPX 16 GB,49.99,"[4, 3000]","[2, 8]",3.124,Black / Yellow,10.0,15.0
Corsair Vengeance RGB Pro 16 GB,69.98,"[4, 3600]","[2, 8]",4.374,White,10.0,18.0
Crucial CT2K16G48C40U5 32 GB,80.98,"[5, 4800]","[2, 16]",2.531,Black,16.667,40.0
Corsair Vengeance RGB 32 GB,174.99,"[5, 7200]","[2, 16]",5.468,Black,9.444,34.0
G.Skill Trident Z RGB 128 GB,299.99,"[4, 3600]","[4, 32]",2.344,Black,10.0,18.0
Corsair Vengeance RGB 32 GB,139.99,"[5, 6200]","[2, 16]",4.375,White,11.613,36.0
Corsair Vengeance 32 GB,99.99,"[5, 6000]","[2, 16]",3.125,Black,12.0,36.0
Kingston FURY Beast RGB 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,Black,9.444,17.0
Corsair Dominator Platinum RGB 32 GB,130.5,"[5, 5600]","[2, 16]",4.078,Black,12.857,36.0
Kingston FURY Beast 32 GB,99.99,"[5, 5600]","[2, 16]",3.125,Black,12.857,36.0
Kingston ValueRAM 4 GB,9.99,"[4, 3200]","[1, 4]",2.498,Green,13.75,22.0
Silicon Power SP016GLLTU160N22 16 GB,15.99,"[3, 1600]","[2, 8]",0.999,Green,13.75,11.0
Crucial Ballistix 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
G.Skill Ripjaws S5 32 GB,143.49,"[5, 5600]","[2, 16]",4.484,White,10.0,28.0
TEAMGROUP T-Create Classic 32 GB,51.99,"[4, 3200]","[2, 16]",1.625,Silver,13.75,22.0
Kingston FURY Beast 16 GB,71.98,"[5, 6000]","[2, 8]",4.499,Black / Silver,12.0,36.0
