name,price,capacity,price_per_gb,type,cache,form_factor,interface
Toshiba MQ01ABD050,16.5,500.0,0.033,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital Red Pro,299.99,18000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s
PNY CS900,17.98,120.0,0.15,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM710,,1000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MS30,37.99,1000.0,0.038,SSD,,M.2-2280,M.2 SATA
Seagate Barracuda Compute,74.98,4000.0,0.019,5400,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus G,399.99,4000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP GX2,29.99,512.0,0.059,SSD,,2.5,SATA 6.0 Gb/s
Western Digital SE,33.99,2000.0,0.017,7200,64.0,3.5,SATA 6.0 Gb/s
Intel D3-S4610,529.99,7680.0,0.069,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power XS70,229.97,4000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC600,27.27,256.0,0.107,SSD,,2.5,SATA 6.0 Gb/s
Crucial P2,129.94,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,279.99,16000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Kingston NV1,56.99,500.0,0.114,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Pro,242.13,512.0,0.473,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,237.0,2000.0,0.118,SSD,2048.0,2.5,SATA 6.0 Gb/s
Western Digital Red,94.91,6000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Silicon Power UD85,,500.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,34.99,1000.0,0.035,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black SN850,84.5,500.0,0.169,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green,43.99,1000.0,0.044,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,24.99,512.0,0.049,SSD,,2.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,84.99,2000.0,0.042,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Pro,279.98,16000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
PNY CS1031,147.08,2000.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4,99.99,500.0,0.2,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Intel 660p,167.0,2048.0,0.082,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M470,144.99,2000.0,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital AV-GP,33.4,2000.0,0.017,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,39.99,3000.0,0.013,5900,64.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket,69.98,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG08,239.99,16000.0,0.015,7200,512.0,3.5,SATA 6.0 Gb/s
Leven JP600,154.99,4000.0,0.039,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,36.83,250.0,0.147,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSM2NE3256GNTD,23.09,256.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate SkyHawk Surveillance,92.26,4000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 850 Pro,135.0,256.0,0.527,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44,819.99,8000.0,0.102,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,378.0,4000.0,0.094,SSD,4096.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,64.99,4000.0,0.016,5400,64.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,49.99,250.0,0.2,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Intel Optane P1600X,58.99,118.0,0.5,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba DT01ACA200,,2000.0,,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,359.99,20000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,449.99,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN850,,2000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 960 Evo,112.95,500.0,0.226,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
