name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX B450-F GAMING,279.0,AM4,ATX,64,4,Black
ASRock B550 Phantom Gaming 4,84.99,AM4,ATX,128,4,Silver / Black
MSI PRO Z790-A WIFI,219.99,LGA1700,ATX,128,4,Black / Silver
NZXT N7 B550,249.99,AM4,ATX,128,4,White / Black
ASRock B550 Phantom Gaming-ITX/ax,191.25,AM4,Mini ITX,64,2,Silver / Black
MSI MAG B650M MORTAR WIFI,199.95,AM5,Micro ATX,128,4,Black
NZXT N7 B650E,316.99,AM5,ATX,128,4,White
ASRock B550M Steel Legend,129.99,AM4,Micro ATX,128,4,Silver / Black
Gigabyte B650M K,119.99,AM5,Micro ATX,128,4,Brown / Silver
Asus ROG STRIX X670E-I GAMING WIFI,429.99,AM5,Mini ITX,64,2,Black / Silver
MSI B450I GAMING PLUS MAX WIFI,149.99,AM4,Mini ITX,64,2,Black
ASRock B550 Pro4,114.99,AM4,ATX,128,4,Silver / Black
ASRock B550M PG RIPTIDE,89.99,AM4,Micro ATX,128,4,
Asus ROG STRIX Z790-A GAMING WIFI,349.99,LGA1700,ATX,128,4,Silver / Black
Asus ROG CROSSHAIR X670E HERO,656.53,AM5,ATX,128,4,Black / Silver
MSI MAG B760 TOMAHAWK WIFI,199.99,LGA1700,ATX,128,4,Black
ASRock B450M Pro4,139.99,AM4,Micro ATX,128,4,Black / Silver
ASRock X670E Steel Legend,299.99,AM5,ATX,128,4,Black / White
MSI MAG X570S TOMAHAWK MAX WIFI,279.5,AM4,ATX,128,4,Black
MSI MPG X570S EDGE MAX WIFI,199.99,AM4,ATX,128,4,Black / Silver
Asus ROG STRIX X670E-A GAMING WIFI,385.99,AM5,ATX,128,4,Silver / Black
Asus TUF GAMING Z690-PLUS WIFI D4,274.99,LGA1700,ATX,128,4,Black / Silver
MSI MAG Z690 TOMAHAWK WIFI,217.0,LGA1700,ATX,128,4,Black / Silver
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,ATX,192,4,Black / Silver
Asus PRIME B650-PLUS,190.99,AM5,ATX,128,4,Black / Silver
ASRock A520M-ITX/ac,136.6,AM4,Mini ITX,64,2,Black / Silver
MSI MEG Z790 GODLIKE,1199.99,LGA1700,EATX,128,4,Black
ASRock A620M Pro RS WiFi,124.99,AM5,Micro ATX,128,4,Silver / Black
MSI PRO Z690-P DDR4,158.69,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z690 AORUS ELITE AX,169.99,LGA1700,ATX,128,4,Black
Asus PRIME A520M-A II/CSM,79.99,AM4,Micro ATX,128,4,Silver / Black
MSI MPG Z790 CARBON WIFI,399.99,LGA1700,ATX,128,4,Black
Asus ROG Crosshair VIII Dark Hero,395.0,AM4,ATX,128,4,Black / Silver
MSI MPG Z690 EDGE WIFI DDR4,269.99,LGA1700,ATX,128,4,Black / Gray
ASRock B450M Steel Legend,109.0,AM4,Micro ATX,64,4,Black / White
Asus PRIME Z390-A,323.0,LGA1151,ATX,128,4,Silver / Black
MSI PRO H610M-B DDR4,109.98,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte B450 AORUS ELITE V2,128.48,AM4,ATX,128,4,Black
ASRock B760M Steel Legend WiFi,169.99,LGA1700,Micro ATX,128,4,Silver / Black
Asus PRIME X670E-PRO WIFI,334.99,AM5,ATX,128,4,Silver / Black
MSI MAG B760 TOMAHAWK WIFI DDR4,189.99,LGA1700,ATX,128,4,Black
Asus ROG CROSSHAIR X670E EXTREME,999.99,AM5,EATX,128,4,Black / Silver
Asus ROG STRIX X670E-F GAMING WIFI,419.99,AM5,ATX,128,4,Black / Silver
Asus PRIME B760-PLUS D4,143.99,LGA1700,ATX,128,4,Silver / Black
ASRock B660 Steel Legend,119.99,LGA1700,ATX,128,4,Silver / Black
MSI MPG Z790I EDGE WIFI,350.99,LGA1700,Mini ITX,64,2,Silver / Black
ASRock H470M-HDV/M.2,86.82,LGA1200,Micro ATX,64,2,Black / Silver
NZXT N7 Z790,299.99,LGA1700,ATX,128,4,Black
MSI MEG X570 UNIFY,245.99,AM4,ATX,128,4,Black
Gigabyte Z790 UD AX,179.99,LGA1700,ATX,128,4,Black
Gigabyte B660M AORUS Pro AX DDR4,109.99,LGA1700,Micro ATX,128,4,Black
ASRock B650M Pro RS,139.99,AM5,Micro ATX,128,4,Black / Silver
MSI MPG B560I GAMING EDGE WIFI,169.99,LGA1200,Mini ITX,64,2,Black
MSI PRO Z690-A WIFI,198.0,LGA1700,ATX,128,4,Black / Silver
