name,price,rpm,noise_level,color,size
ID-COOLING SE-224-XT,,"[700, 1800]","[15.2, 32.5]",Black,
Deepcool CASTLE 360EX RGB,,"[500, 1800]",35,Black,360.0
ID-COOLING SE-224-XT ARGB DUET,,"[500, 1500]","[13.8, 30.5]",,
Cooler Master Hyper TX3,,"[800, 2800]","[17, 35]",,
ARCTIC Liquid Freezer II 420 RGB,,"[200, 1900]",22.5,Black,420.0
Deepcool GAMMAXX GT V2,49.99,"[500, 1650]",27.8,Black / Silver,
Silverstone PF360-ARGB,,"[600, 2200]","[7.4, 35.6]",Black,360.0
Cooler Master Hyper 103,,"[800, 2200]","[17, 30]",,
NZXT Kraken X31,,"[800, 2000]","[18, 34]",,120.0
Tempest Subzero RGB,,"[800, 1650]",,Black / Silver,
Asus ROG STRIX LC 240 RGB,204.75,"[800, 2500]",37.6,Black,240.0
Silverstone AR12 RGB,38.42,"[700, 2200]","[9, 29]",Silver / Black,
ARCTIC Liquid Freezer II 280 RGB,,"[200, 1900]",22.5,Black,280.0
Mars Gaming MCPU-XT,,"[800, 1600]","[9, 26]",Black,
Deepcool GAMMAXX GT,106.84,"[500, 1500]","[17.8, 29.5]",,
Asus ROG STRIX LC 360 RGB,,"[800, 2500]",37.6,Black,360.0
Jonsbo HX6200D,48.0,"[700, 1800]","[18.6, 29.7]",White,
ID-COOLING AURAFLOW X,,"[700, 1800]","[18, 35.2]",White,360.0
Enermax Liqtech II 360,236.9,"[500, 2300]","[14, 28]",Black,360.0
StarTech FAN1156PWM,18.97,"[1000, 3000]",33,,
Cooler Master MasterAir MA410P,,"[650, 2000]","[6, 30]",,
Deepcool GAMMAXX GTE V2,,"[500, 1650]",27.8,Black,
Akasa K32,20.83,"[600, 3000]","[17.2, 30.54]",,
Corsair H110i GTX,,2000,40,,280.0
EVGA CLCx 280,254.37,,35,Black,280.0
NZXT Kraken X41,,"[800, 2000]","[20, 37]",,140.0
Deepcool CASTLE 120R,,"[500, 1800]",32,Black,120.0
Corsair H55,,1500,"[18, 26.5]",Black,120.0
Silverstone Hydrogon D120 ARGB,116.79,,"[0, 30.5]",Black / Silver,
Thermaltake TOUGHLIQUID Ultra RGB,229.99,"[500, 2000]",30.7,Black,280.0
Antec KUHLER H2O 1250,66.83,"[600, 2400]","[16, 38]",,240.0
be quiet! Dark Rock TF,,1400,"[11.9, 26.7]",,
Cooler Master Hyper T4,,1800,"[15.1, 31.6]",,
Deepcool CAPTAIN 240EX WHITE,,"[500, 1800]","[17.6, 31.3]",,240.0
Alphacool Eisbaer 420,156.25,1100,29.4,Black / Blue,420.0
ID-COOLING IS-27i,,"[800, 2700]","[14, 25]",,
ID-COOLING ZOOMFLOW 240 XT,,"[500, 1500]","[13.8, 30.5]",Black,240.0
Corsair H150,,1500,"[18, 26.5]",Black,360.0
be quiet! Shadow Rock TF 2,107.97,1400,"[11.9, 24.4]",Silver / Black,
ARCTIC Freezer 34 eSports,44.99,"[200, 2100]",28,Red / Black,
Asus ROG RYUO 120 RGB,197.68,"[800, 2500]",37,Black,120.0
Deepcool AG500 ARGB,56.52,"[300, 1850]",29.4,Black / Silver,
Dynatron R24,39.95,"[1500, 7000]","[16, 47.5]",,
Deepcool GAMMAXX 400 White,,"[900, 1500]","[17.8, 30]",White,
Noctua NH-U12P SE2,,"[900, 1300]","[12.6, 19.8]",,
Alphacool Eisbaer 360,139.94,"[550, 1700]",29,Black,360.0
CRYORIG H5 Universal,83.8,"[700, 1300]","[20, 24]",,
ID-COOLING FROSTFLOW 240 XT,,"[700, 1800]","[15.2, 35.2]",Black,240.0
Jonsbo HX6250,,"[400, 1800]","[28, 38]",Black,
Thermaltake CLP0556-B,18.98,"[1900, 2300]",22,,
Noua Jotun,,1800,23,Black / Silver,
Cooler Master Hyper 212 Plus,,"[600, 2000]","[13, 32]",,
Cooler Master MasterLiquid Pro 280,,"[650, 2200]","[6, 30]",,280.0
Jonsbo HX4170D,107.0,"[600, 3300]",28.4,White,
Vetroo U6 Pro,64.99,"[700, 1500]","[18.1, 30.5]",White,
Jonsbo HP-400,29.99,"[800, 3000]","[14, 33]",Blue / White,
Thermaltake TOUGHLIQUID ARGB,145.09,"[500, 2000]",33.2,Black,280.0
Silverstone PF240-ARGB,,"[600, 2200]","[7.4, 35.6]",Black,240.0
Intel BXRTS2011LC,,2200,,,120.0
SilentiumPC Spartan 3 LT HE1012,,"[800, 2000]",,Black / Silver,
ID-COOLING ZOOMFLOW 240,,"[900, 2000]","[16.3, 33.5]",Black,240.0
Thermaltake TOUGHLIQUID ARGB,123.99,"[500, 2000]",22.3,Teal,240.0
ID-COOLING SE-234-ARGB,,"[900, 2000]","[16.2, 31.5]",Black,
MSI Core Frozr XL,,"[500, 1800]","[17.2, 33.6]",Black / Red,
Gigabyte AORUS LIQUID COOLER,,2500,"[18, 39.5]",Black,240.0
Alphacool Eisbaer Aurora 360,245.95,"[800, 2000]",,Black,360.0
Silverstone AR06,45.13,2500,"[20, 28.3]",,
Alphacool Eisbaer Pro Aurora,179.54,,31.5,Black,240.0
ARCTIC Liquid Freezer II 280 RGB,,"[200, 1900]",22.5,Black,280.0
Silverstone NT07-115X,25.99,"[1500, 3600]","[21.9, 34.7]",Silver / Black,
Cooler Master MasterAir MA610P,58.22,1800,35,Black,
SilentiumPC Fortis 5 ARGB,,"[300, 1400]",,Black / Silver,
Aerocool P7-L240,,"[600, 1800]","[10.5, 31.8]",Black,240.0
GameMax Gamma 500 ARGB,63.43,"[1000, 1800]",26.3,Black / Silver,
ADATA XPG LEVANTE 360,109.99,"[600, 2000]",34,Black,360.0
Cooler Master Hyper 212X EU Version,109.0,"[600, 1700]","[13, 28.6]",,
PC Cooler GI-D66A,,"[1000, 2000]","[8, 29.1]",Black,
Asus TUF Gaming LC 240 RGB,,"[800, 2000]",,Black,240.0
Asus ROG RYUO III 240 ARGB WHITE EDITION,,2200,36.45,White,240.0
ARCTIC Freezer 11 LP,34.95,"[900, 2000]",,,
Asus ROG Strix LC 240,204.75,"[800, 2500]",37.6,Black,240.0
ARCTIC Freezer 34 CO,44.76,"[200, 1800]",,Black / Silver,
SilenX EFZ-92HA2,19.95,2400,"[8, 24]",,
Evercool LGAL1156A-B715,,"[1000, 5500]",56,,
Enermax LIQTECH TR4 II 360,197.89,"[500, 2300]","[14, 28]",Black,360.0
CRYORIG R1 Ultimate,,"[700, 1300]",23,,
Cooler Master V8 GTS,,1600,36,,
ID-COOLING ZOOMFLOW 240 XT SNOW,,"[500, 1500]","[13.8, 30.5]",White,240.0
Thermalright TRUE Spirit 140 Direct,85.97,"[300, 1300]","[15, 21]",,
Alpenföhn Brocken 4,,"[400, 1600]",22.8,Black,
Cooler Master Hyper 412S,88.0,"[900, 1300]","[16.1, 22.5]",,
CRYORIG H5 Ultimate,,"[700, 1300]","[19, 23]",,
NZXT Kraken X40,,"[800, 2000]","[21, 37]",,140.0
Prolimatech PRO-SAM17,43.32,,,,
Deepcool GAMMAXX 400S,,1300,14.6,Black / Silver,
ARCTIC Freezer 33 eSports ONE (Black/Red),,"[200, 1800]",24.4,Black / Red,
Deepcool Castle 240 RGB,,"[500, 1800]","[17.8, 30]",Black,240.0
NoFan CR-80EH,98.9,,0,,
TEAMGROUP SIREN GD360E,109.99,"[600, 2200]","[14.3, 35.6]",Black,360.0
ARCTIC Alpine 11 Pro Rev. 2,,"[500, 2000]",,,
Akasa Vegas Chroma LG,37.24,"[500, 1800]",32.5,Black,
Scythe Kotetsu Mark II,141.87,"[300, 1200]","[4, 24.9]",,
Azza Blizzard SP 360,,"[700, 2200]",36,Black,360.0
NZXT Kraken X42 Rev 2,,"[500, 1800]","[21, 38]",,140.0
NZXT Kraken X52 Rev 2,,"[500, 2000]","[21, 36]",,240.0
Asus ROG Strix LC 120,176.68,"[800, 2500]",37.6,Black,120.0
ID-COOLING SE-207-XT ADVANCED,,"[700, 1800]","[15.2, 35.2]",,
CRYORIG M9 Plus,81.95,"[600, 2200]",26.4,Black / Silver,
Xigmatek GAIA SD1283,30.0,"[800, 1500]","[16, 24]",,
ADATA XPG LEVANTE 240,139.99,"[600, 2000]",34,Black,240.0
Corsair H100,,"[1300, 2500]","[22, 39]",,240.0
Noctua NH-D14 SE2011,,"[900, 1300]","[12.6, 19.8]",,
ARCTIC Alpine M1,,750,20.5,,
Scythe FUMA Rev.B,,"[300, 1400]","[13, 28]",,
RAIJINTEK JUNO PRO RBW,,"[400, 1800]",28,Black,
Phanteks Glacier One 240MPH,,"[500, 2200]","[18, 34.2]",Black,240.0
Xilence M906,,"[500, 1500]","[18, 30.8]",Black,
Deepcool GAMMAXX 300 R,,"[900, 1600]","[17.8, 21]",,
Enermax ETS-T40F-TB,19.99,"[900, 1800]","[11, 21]",,
Scythe KOTETSU Mark II TUF,64.81,"[300, 1200]","[4, 24.9]",Black / Yellow,
ID-COOLING IS-40X V2,,"[800, 2800]","[14, 35.2]",,
Cooler Master MasterAir MA620P,,"[600, 1800]",31,Black / Silver,
ID-COOLING SE-903-XT,,"[500, 2200]","[14, 25.8]",,
ARCTIC Alpine M1 - Passive,,,0,,
ARCTIC Freezer 50 TR (w/ARGB Controller),,"[200, 1800]",23.5,Black,
Thermalright Macho Rev.B,169.0,"[300, 1300]","[15, 21]",,
Thermaltake Water 3.0 Riing RGB 280,132.9,"[300, 1500]","[18.5, 26.4]",Black / Red,280.0
Thermaltake TOUGHLIQUID ARGB,,"[500, 2000]",22.3,Green,240.0
Cooler Master MasterLiquid ML240P Mirage,,2000,27,Black,240.0
SilentiumPC Fera 3 HE1224,,"[500, 1600]",,Black / Silver,
ID-COOLING SE-903-SD,,2000,23.1,,
Jonsbo CR-1400,,"[900, 2300]","[20, 30.5]",White,
RAIJINTEK EOS 360 RBW,105.59,"[800, 1800]",28,Black,360.0
Dynatron K129,44.93,,0,Orange,
Alphacool Eisbaer LT360,139.75,"[550, 1700]",29,Black,360.0
GAMDIAS BOREAS E1,,"[800, 2000]","[10, 31]",Black / Silver,
Deepcool UL551 RGB,,"[500, 1800]",26.8,Black,
Corsair A70,,"[1600, 2000]","[26, 31.5]",,
darkFlash Shadow PWM,,"[800, 2500]",29.6,Black,
ID-COOLING IS-47K,,"[600, 2500]","[14, 33]",Silver / Black,
GAMDIAS BOREAS M1,39.98,"[800, 2600]","[10, 32]",Black / Silver,
Corsair H75 2018,,1900,31,Black,120.0
Cooler Master Hyper H410R White Edition,,"[600, 2000]","[6, 29]",,
Noua Blizzard,,2200,23.4,Silver / Black,
Alphacool Eisbaer 240,162.9,"[550, 1700]",29,Black,240.0
Gelid Solutions BlackFrore,23.99,"[900, 2000]",20,Black,
Fractal Design Celsius+ S36 Dynamic X2 PWM,,"[500, 2000]",32.2,Black,360.0
Zalman CNPS9500 AT,41.33,"[1300, 2650]","[18, 27.5]",,
Thermalright AXP90-X53,,2700,22.4,Black,
Alpenföhn Brocken 4 Max,,"[400, 1800]","[22.8, 24.7]",Black,
RAIJINTEK THEMIS BLACK,19.99,"[1000, 1500]",24.53,Black / Silver,
Alpenföhn Glacier Water High Speed 360,257.99,"[500, 2200]",36.8,White,360.0
Noua Siberus Pro 240,,"[800, 1800]",32,Black,240.0
Cougar AQUA,,"[600, 1800]",35,Black,240.0
be quiet! Dark Rock 2,,1300,"[8.7, 21.2]",,
Cooler Master Nepton 240M,,2400,"[6.5, 27]",,240.0
Iceberg Thermal IceSLEET X5,44.99,"[500, 1850]","[0, 36]",Teal / Silver,
RAIJINTEK JUNO-X,43.32,"[1200, 2500]",26,Black,
be quiet! Shadow Rock 2,122.0,1600,"[15.3, 25.4]",,
Thermaltake Floe Riing RGB 240 TT Premium Edition,131.03,"[500, 1400]","[19.8, 24.7]",,240.0
GameMax Ice Chill 120,70.2,"[800, 1900]",28.8,Black,120.0
ID-COOLING IS-60 EVO ARGB,,"[500, 2000]","[13.8, 31.2]",Black / Silver,
MSI MAG CORELIQUID C240 EVA e-PROJECT,,"[500, 2000]","[14.3, 34.3]",Black,240.0
Scythe Mugen 5 Black RGB Edition,,"[300, 1200]","[4, 24.9]",Black / Silver,
ARCTIC Freezer Xtreme Rev.2,,"[800, 1500]",24.4,,
Corsair H90,,1500,35,,140.0
Deepcool GAMMAXX L240,,"[500, 1800]",17.8,Black,240.0
ID-COOLING SE-207-XT BLACK,,"[700, 1800]","[15.2, 35.2]",,
Cougar Helor 240,84.99,"[600, 1800]",37.1,Black,240.0
Intel BXRTS2011AC,49.99,"[1000, 3000]",,,
Noctua NH-C14,,"[750, 1200]","[10.1, 19.6]",,
ARCTIC Alpine Passive,,,0,Black,
Deepcool GAMERSTORM CAPTAIN 240PRO V2,,"[500, 1800]",30,Black,240.0
Noua Vex,,1500,,Black / Silver,
Silverstone NT09-115X,22.39,"[550, 2500]","[18.5, 32]",,
ARCTIC Freezer i13 X CO,,"[300, 2000]",,Black / White,
CRYORIG M9i,,"[600, 2200]",26.4,,
Deepcool GAMERSTORM CAPTAIN 360X WHITE,,"[500, 1800]",32.1,White / Black,360.0
Deepcool GAMMAXX C40,,"[500, 2000]",23.9,Black / Silver,
Enermax Liqfusion 240,69.99,"[500, 2000]","[14, 28]",Black,240.0
Alphacool Eisbaer Aurora 240,194.81,"[800, 2000]",,Black,240.0
RAIJINTEK AIDOS BLACK,66.75,"[1000, 2200]",28.87,,
ID-COOLING IS-47S,,"[800, 3600]","[17, 35.8]",,
ARCTIC Freezer 33 eSports ONE (Black/White),,"[200, 1800]",24.4,Black / White,
Jonsbo PISA A5,,"[800, 1850]",36.8,Gray,
In Win Nebula NR36,149.0,"[400, 1800]",25,Black / White,360.0
Evercool HPFI-10025,18.0,1800,23,,
Cooler Master DK9-7G52A-0L-GP,31.98,4500,35,,
ARCTIC Liquid Freezer II 420 RGB,,"[200, 1900]",22.5,Black,420.0
ID-COOLING SE-226-XT,,"[500, 1500]","[13.8, 30.5]",White,
Phanteks PH-TC14PE,,"[700, 1200]","[13.4, 19]",,
ARCTIC Freezer 13 CO,,"[600, 2000]",24.4,,
Deepcool GAMMAXX 200,,"[900, 2200]","[17.8, 34.6]",,
SilentiumPC Fortis 3 HE1425,,"[500, 1400]","[8, 22]",,
Alpenföhn Brocken ECO,,"[500, 1500]","[4.6, 27.3]",,
be quiet! Silent Loop 360,,2000,"[16.1, 36.9]",,360.0
Alphacool Eisbaer 280,128.1,1100,29.4,Black / Blue,280.0
Thermalright Le Grand Macho RT,171.0,"[300, 1300]","[14, 20]",,
GAMDIAS CHIONE P2,104.98,"[800, 1800]",,Black,360.0
Silverstone VIDA 120 SLIM,111.99,"[300, 1800]","[15.9, 33.9]",Black,120.0
ARCTIC Freezer 33,,,,,
Fractal Design Lumen S24 RGB,,"[500, 2000]","[10, 33.2]",Black,240.0
ARCTIC Liquid Freezer II 360 RGB,,"[200, 1800]",22.5,Black,360.0
Cooler Master V8,,"[800, 1800]","[17, 21]",,
Zalman CNPS5X Performa,,"[1400, 2800]","[20, 32]",,
Thermaltake Water 3.0 Extreme,,"[1000, 2000]",20,,240.0
Thermaltake Water 3.0 Ultimate,,"[1000, 2000]",20,,360.0
Deepcool CAPTAIN 240 EX,,"[500, 1800]","[17.6, 31.3]",,240.0
Deepcool CAPTAIN 120EX RGB,,"[500, 1800]","[17.6, 31.3]",,120.0
ID-COOLING SE-224-XT ARGB V2,,"[900, 2000]","[16.2, 31.5]",,
ARESGAME RIVER 5,,"[600, 1800]",26.2,Black,
EK EK-Nucleus AIO CR360 Vision D-RGB,,"[500, 2200]",33.5,Black,360.0
Alphacool Eisbaer Aurora 280,159.99,"[600, 1500]",,Black,280.0
Thermaltake Riing Silent 12 Red,43.19,"[300, 1400]","[13, 18]",,
Zalman CNPS16X,44.99,"[800, 1500]",27,Black,
Asus ROG Strix LC 360,,"[800, 2500]",37.6,Black,360.0
ID-COOLING IS-30,,"[800, 3600]","[17, 35.8]",,
Thermaltake Water 3.0 Riing RGB 360,,"[800, 1500]",26.4,,360.0
Cooler Master Seidon 120M,,"[600, 2400]","[19, 40]",,120.0
Cooler Master Nepton 280L,,2000,"[21, 39]",,280.0
Gelid Solutions Rev. 4 Tranquillo,,"[750, 1600]","[12, 26.7]",,
Zalman CNPS10X Optima II,,"[800, 1500]",27,White,
MSI MAG CORELIQUID B,,"[500, 2000]","[14.3, 34.3]",Black,120.0
SilenX EFZ-100HA2,19.95,2400,"[8, 24]",,
Thermalright Ultra120EX REV.4,41.9,2150,28.1,White,
Silverstone Hydrogon D120 ARGB,,,"[0, 30.5]",White / Silver,
Scythe Mugen 5,,"[300, 1500]","[4, 29.75]",,
Cooler Master Hyper H410R,,"[600, 2000]",29.4,Black / Red,
Mars Gaming MCPU-XTW,,"[800, 1600]","[9, 26]",White,
Antec Neptune 240 ARGB,,"[900, 1600]","[20, 36]",Black,240.0
Antec C400,69.54,"[800, 1900]","[20.3, 34.5]",,
Corsair H80,,"[1300, 2500]","[22, 39]",,120.0
Cooler Master Seidon 120XL,,"[600, 2400]","[19, 40]",,120.0
ID-COOLING IS-60,,"[600, 1600]","[13.8, 30.2]",,
Deepcool Maelstrom 120T,,"[600, 1800]","[17.8, 34.1]",,120.0
Cooler Master MasterAir MA620P TUF Gaming Edition,,"[600, 1800]","[6, 31]",Black / Yellow,
Alpenföhn Brocken 3,,"[400, 1050]",22,Black,
Deepcool Castle 360 RGB,,"[500, 1800]",30,Black,360.0
ID-COOLING DK-03 RAINBOW,,"[500, 1800]","[14.2, 25.6]",,
Thermaltake Riing Silent 12 RGB Sync Edition,66.68,"[300, 1500]","[13, 22]",Black,
Inter-Tech ALSEYE H120,,"[800, 2000]","[13.5, 35.2]",Black,120.0
CRYORIG C7G,,"[600, 2500]",30,Black / Silver,
be quiet! Shadow Rock Slim,,"[400, 1400]","[11.5, 23.7]",,
Enermax AQUAFUSION 360,,"[500, 2000]","[17, 32.6]",Black,360.0
Thermalright AXP-100,,"[900, 2500]","[22, 30]",,
Deepcool CAPTAIN 360,,"[600, 2200]","[17.6, 39.29]",,360.0
Cooler Master Blizzard T2,,2200,30,,
Intel BXTS13X,,"[800, 2200]","[21, 35]",,120.0
Scythe Mugen 5,,"[300, 1200]","[4, 24.9]",,
ID-COOLING FROSTFLOW+ 120,,"[700, 1800]","[18, 35.2]",Black / White,120.0
ARCTIC Alpine 12 Passive,,,0,Black,
Deepcool Gamerstorm Captain 240 PRO,,"[500, 1800]",30,Black,240.0
Silverstone HE02-V2,,,0,Silver,
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
Thermalright Frost Spirit 140 V3 ARGB,,1500,25.6,White,
Alphacool Eisbaer Pro HPE Aurora,,,31.5,Black,360.0
RAIJINTEK Orcus 140 RGW,101.09,"[400, 1800]",28,Black,140.0
MSI MAG CORELIQUID P280,,"[500, 1800]","[14.8, 33.28]",Black,280.0
Fractal Design Lumen S28 RGB,,"[500, 1700]","[10, 35.5]",Black,280.0
EVGA ACX,,2800,42.5,,
Cooler Master MasterAir Maker 8,,"[600, 1800]","[8, 24]",,
Reeven Steropes RC-1206b,,"[500, 2000]","[9.32, 33.67]",,
Cooler Master Seidon 240V,,"[800, 2400]","[12, 35]",,240.0
ID-COOLING SE-213 RAINBOW,,"[500, 1600]","[16, 20.2]",,
Thermalright AXP-200 Muscle,152.0,"[700, 1300]",,Black / White,
FSP Group Windale 4,29.99,"[600, 1600]",32,Black / Silver,
SilenX EFZ-92HA3,37.31,2000,"[8, 24]",,
Silverstone AR04,35.99,"[1500, 3400]","[18, 26]",,
Titan DC-155A915Z/RPW,,"[1000, 2600]","[24.8, 33.4]",,
CRYORIG R1 Universal,,"[700, 1300]","[20, 25]",,
Asus TUF Gaming LC RGB,,"[800, 2000]",29,Black,240.0
Asus TUF Gaming LC 120 RGB,,"[800, 2000]",,Black,120.0
CRYORIG C1,,"[700, 1300]",24,,
Deepcool ICE BLADE 200M,,2200,"[17.8, 30.1]",,
Cooler Master Hyper 612 Ver.2,,"[800, 1300]","[11, 20]",,
Gigabyte AORUS ATC700,,"[500, 1700]","[12, 31]",Black / Orange,
ARCTIC Freezer 34 eSports DUO,,"[200, 2100]",24.4,Green / Black,
Vetroo darkstorm M2,,1600,26,Black,
Silverstone AR08-V2,60.77,"[1500, 2800]","[14.1, 27.7]",Blue / White,
Silverstone AR05,43.1,2500,"[20, 28.3]",,
NZXT Kraken X60,,"[800, 2000]","[21, 37]",,280.0
Corsair H110i GT,427.66,2100,43,,280.0
Reeven Vanxie,,"[800, 3300]","[8.2, 32.5]",,
ARCTIC Freezer 12,,,22.5,,
Rosewill PB240-RGB,,1500,26.8,Black,240.0
Phanteks Glacier One 360MP,,"[500, 2200]","[18, 34.2]",Black / White,360.0
ID-COOLING ZOOMFLOW X,,"[700, 1500]","[18, 26.4]",Black,360.0
GAMDIAS CHIONE E2,,"[800, 1800]",,Black,120.0
Thermalright Ultra120EX REV.4,,2150,28.1,Black,
Thermalright Assassin X,,1500,25.6,Black / Silver,
RAIJINTEK Orcus 360 RGW,99.9,"[400, 1800]",28,Black,360.0
Thermaltake Floe DX RGB 280 TT Premium Edition,145.88,"[500, 1400]","[19.8, 26.2]",Black / Gray,280.0
Dynatron R12,34.99,,0,,
RAIJINTEK PALLAS Red,29.99,"[650, 1400]",28,,
Zalman CNPS10X Performa,,"[900, 2000]","[17, 24]",Silver / Black,
Enermax AQUAFUSION,,"[500, 2000]","[17, 32.6]",White,240.0
Titan TTC-NC95TZ(RB),39.95,"[150, 1500]",28.6,,
Dynatron T318,47.93,,0,,
Sapphire NITRO+ S360-A,,"[405, 2400]","[17.9, 36.2]",Black / Silver,360.0
Corsair H110,,1500,35,,280.0
Enermax Aquafusion 240,,"[500, 2000]","[17, 32.6]",Black,240.0
Akasa Soho H4,,"[500, 2000]","[14.2, 31.8]",Black,
be quiet! Dark Rock Pro 2,,"[1500, 1700]","[13.5, 26.4]",,
Deepcool GAMMAXX S40,,"[900, 1600]","[17.8, 26.1]",,
Phanteks PH-TC12LS_BK,,"[500, 1800]",25,,
Reeven Brontes RC-1001b,,"[650, 2200]","[10.5, 31.67]",,
Deepcool CAPTAIN 120 EX,,"[500, 1800]","[17.6, 31.3]",,120.0
upHere AC12RGB,,"[600, 1700]","[16.1, 27.7]",Black,
Deepcool CASTLE 240EX RGB,,"[500, 1800]",35,Black,240.0
RAIJINTEK Orcus 240 RGW,72.99,"[400, 1800]",28,Black,240.0
Gelid Solutions Tranquillo Rev. 5,29.99,"[900, 2000]",26.5,Black,
Cooler Master CHD-00008-01-GP,24.99,2200,22,,
GAMDIAS CHIONE M2,,1800,,Black,240.0
SilenX EFZ-80HA3,32.17,2200,"[8, 24]",,
Cooler Master MasterLiquid ML360 RGB TR4 Edition,,"[650, 2000]","[6, 30]",Black,360.0
Cooler Master MasterLiquid ML360P Silver Edition ARGB,,"[650, 1800]","[8, 30]",Silver / Black,360.0
Inter-Tech ALSEYE X240,,1600,35.6,Gray / Black,240.0
TUNIQ Tower 120 Extreme,,"[1000, 2000]","[16, 20]",,
Cooler Master GeminII M4,,"[500, 1600]","[8, 30]",,
Dynatron R16,,"[1000, 6000]","[21.5, 55.8]",,
Thermaltake Water 3.0 Performer,,"[1000, 2000]",20,,120.0
Thermalright TRUE Spirit 120M(BW) Rev.A,,"[600, 1300]",25.4,,
Cooler Master MasterLiquid Pro 240,,"[500, 2000]","[6, 30]",,240.0
SilentiumPC Fera 3 HE1224 v2,,"[500, 1600]",,,
Deepcool GAMERSTORM CAPTAIN 240X WHITE,,"[500, 1800]",32.1,White / Black,240.0
ID-COOLING AURAFLOW X,,"[700, 1800]","[18, 35.2]",Black,120.0
ID-COOLING SE-224-XT RGB,,"[900, 2000]","[16.2, 31.5]",Black / White,
MSI MAG CORELIQUID RH,,"[500, 2000]","[14.3, 34.3]",Black,240.0
ID-COOLING SE-213V2,,"[800, 1600]","[16, 20.2]",,
In Win BR36,156.5,"[400, 1800]",35.5,Black / White,360.0
Sapphire NITRO+ S240-A,,"[405, 2400]","[17.9, 36.2]",Black / Silver,240.0
Noua Alaska,,"[800, 3000]",30.5,Black,
Thermaltake CL-P0187,32.95,4800,36,,
Silverstone NT06-PRO-V2,82.99,"[1000, 2200]",,Silver / Black,
Zalman CNPS16X,44.99,"[800, 1500]",27,White,
Silverstone IceGem 360,191.73,"[600, 2200]","[7.3, 36.6]",Black,360.0
Dynatron R25,44.95,"[1000, 7000]","[21.5, 59.14]",,
Thermaltake Frio Silent 14,37.19,"[700, 1200]","[12, 19.3]",,
Inter-Tech ALSEYE MAX 120,,"[600, 1800]","[16.5, 32.5]",Black,120.0
Zalman CNPS10X OPTIMA,,"[1000, 1700]","[17, 28]",,
Cooler Master Seidon 240M,,"[600, 2400]","[19, 40]",,240.0
Thermaltake NiC C5,,"[1000, 2000]","[20, 39.9]",,
ARCTIC Liquid Freezer 240,,"[500, 1350]",,,240.0
ID-COOLING FROSTFLOW 240L-W,,"[800, 2000]","[20, 38.2]",,240.0
be quiet! Silent Loop 240,,2000,"[16.1, 36.9]",,240.0
Cooler Master MasterAir Pro 4,,"[650, 2000]","[6, 30]",,
Alpenföhn Sella,,"[850, 2200]","[14, 29.8]",,
ID-COOLING FROSTFLOW+ 240 SNOW,,"[700, 1500]","[18, 26.4]",White,240.0
Gigabyte AORUS LIQUID COOLER,,2300,"[22.3, 44.5]",Black,280.0
Enermax AQUAFUSION,,"[500, 2000]","[17, 32.6]",White,120.0
Thermalright Frost Spirit 140 RGB,,1500,25.6,Gray,
Cougar AQUA,,"[600, 1600]",34,Black,280.0
Thermalright AXP-90i FULL Copper,,2700,22.4,Orange / Brown,
ID-COOLING DK-03A RGB PWM,,"[500, 1800]","[14.2, 25.6]",,
ID-COOLING SE-802-SD,,2200,23.3,,
ID-COOLING PINKFLOW 240 DIAMOND PURPLE,,"[900, 2000]","[16.3, 33.5]",Pink / Purple,240.0
RAIJINTEK DELOS RBW,42.99,"[650, 2000]",22.95,Black,
RAIJINTEK Orcus 120 RGW,74.98,"[400, 1800]",28,Black,120.0
Thermalright Macho Direct,68.76,"[300, 1300]","[15, 21]",,
Silverstone IceGem 240P,203.88,"[600, 2200]","[7.3, 36.6]",Black,240.0
GAMDIAS CHIONE M1,165.99,"[600, 1200]",,Black,280.0
Silverstone AR11,34.39,"[1200, 3000]","[19.3, 44.5]",Black / Silver,
Cougar Helor 360,209.7,"[600, 1800]",37.1,Black,360.0
Zalman CNPS20X,54.99,"[800, 1500]",29,Black / Silver,
Corsair H70,,"[1600, 2000]","[26, 31.5]",,120.0
Noctua NH-C12P SE14,,"[750, 1200]","[10.1, 19.6]",,
Scythe BIG Shuriken 2 Rev. B,,"[500, 2000]","[9.32, 33.67]",,
Thermaltake Water 3.0 Pro,,"[1000, 2000]",20,,120.0
ARCTIC Liquid Freezer 120,,"[500, 1350]",,,120.0
Thermaltake Water 3.0 Riing RGB 240,,"[800, 1500]",26.4,,240.0
Thermaltake Engine 27,,"[1500, 2500]","[13, 25]",,
Cooler Master MasterLiquid Pro 140,,"[650, 2000]","[6, 30]",,140.0
Cooler Master Hyper 212 RGB Phantom Gaming Edition,,"[650, 2000]","[8, 30]",Black,
SilentiumPC Navis RGB 240,,"[800, 2300]",,Black,240.0
Deepcool GAMMAXX 400R,,"[900, 1500]","[17.8, 30]",Red / Silver,
Gelid Solutions Phantom Black,,"[750, 1600]","[12, 26.7]",Black / Silver,
Thermalright Assassin King 120 Mini,,1500,25.2,Black / Silver,
MSI CORE FROZR S,,"[500, 1800]","[17.2, 33.6]",Black / Red,
MSI MAG CORELIQUID RH,,"[500, 2000]","[14.3, 34.3]",Black,360.0
Asus ROG STRIX LC II ARGB,,"[800, 2500]",37.6,Black,120.0
ID-COOLING ICEFLOW ARGB,,"[900, 2000]","[16, 31.5]",Black,240.0
