name,price,rpm,noise_level,color,size
Cooler Master Hyper 212 Black Edition,76.79,"[650, 2000]","[6.5, 26]",Black,
EK EK-Nucleus AIO CR360 Lux D-RGB,148.99,"[550, 2300]",36,Black,360.0
ID-COOLING SE-224-XTS BLACK,29.99,"[600, 1500]",28.9,Black,
NZXT Kraken Elite 240 RGB,249.99,"[500, 1800]","[17.9, 30.6]",White,240.0
Deepcool AG400,21.99,"[500, 2000]",31.6,Black / Silver,
NZXT T120 RGB,49.99,"[500, 1800]","[17.2, 27.5]",White,
ID-COOLING IS-55 Black,39.99,"[500, 2000]",31.2,Black,
Noctua NH-D9L,54.95,"[400, 2000]","[16.3, 22.8]",,
be quiet! Pure Loop 360,124.9,,"[19.8, 40.5]",Black,360.0
Asus ROG RYUJIN II ARGB,449.99,,,Black,360.0
ARCTIC Liquid Freezer II 280 A-RGB,124.99,"[200, 1900]",22.5,Black,280.0
Thermalright Phantom Spirit 120 SE ARGB,44.9,1500,25.6,Black / Silver,
MSI MAG CORELIQUID P360,104.99,"[500, 2000]","[14.3, 34.3]",Black,360.0
ID-COOLING DASHFLOW 240 BASIC,69.98,"[700, 1800]","[15.2, 35.2]",Black,240.0
Corsair iCUE H170i ELITE LCD,414.0,"[400, 1600]","[10, 31.8]",Black,420.0
Corsair iCUE H100i ELITE CAPELLIX,196.0,2400,"[10, 37]",White,240.0
be quiet! Pure Loop 240,99.99,,"[19, 39.5]",Black,240.0
NZXT Kraken X73 RGB,224.99,"[500, 1500]","[22, 33]",White / Black,360.0
NZXT Kraken 360 RGB,199.99,"[500, 1800]","[17.9, 30.6]",Black,360.0
ARCTIC Liquid Freezer II 420 A-RGB,155.99,"[200, 1900]",22.5,Black,420.0
Noctua NH-U12S,74.95,"[300, 1500]","[18.6, 22.4]",,
Asus ROG STRIX LC II ARGB,226.99,"[800, 2500]",37.6,Black,360.0
Enermax Liqmax III 360 ARGB,69.99,"[500, 1600]","[14, 27]",Black,360.0
Cooler Master MasterLiquid ML240L ARGB V2,109.99,"[650, 1800]","[8, 27]",White,240.0
Corsair iCUE H60x RGB ELITE,,1500,"[7, 28]",Black,120.0
NZXT Kraken Z63 RGB,,"[500, 1500]","[22, 33]",White / Black,280.0
StarTech FAN775E,14.95,2600,22.2,,
Asus ROG RYUO III 360 ARGB,274.99,2200,36.45,Black,360.0
ARCTIC Freezer 34 eSports DUO,48.89,"[200, 2100]",24.4,White / Gray,
Corsair iCUE H100i ELITE LCD,259.99,"[450, 2000]","[10, 30.4]",Black,240.0
Deepcool THETA 20 PWM,4.99,"[900, 2400]","[17.8, 32.5]",Black / Silver,
Corsair iCUE H115i ELITE CAPELLIX,205.99,2000,"[10, 36]",Black,280.0
Corsair iCUE H150i RGB PRO XT,220.23,2400,37,Black / White,360.0
Noctua NH-D15S,99.95,"[300, 1500]","[19.2, 24.6]",,
MSI MEG CORELIQUID S360,259.99,,22.7,Black,360.0
ID-COOLING ZOOMFLOW X,74.98,"[700, 1500]","[18, 26.4]",Black,240.0
Deepcool AG400,29.99,"[500, 2000]",31.6,White,
Deepcool AG620 BK ARGB,47.99,"[300, 1850]",29.4,Black,
Thermalright Assassin King SE ARGB,20.29,1550,25.6,Silver / Gray,
Thermalright Assassin X Refined SE ARGB,20.9,1550,25.6,White / Silver,
MSI MAG CORELIQUID C360,146.08,"[500, 2000]","[14.3, 34.3]",Black,360.0
Asus TUF GAMING LC 240 ARGB,119.99,"[800, 2000]",29,Black,240.0
Cooler Master MasterLiquid ML360L ARGB V2,109.99,"[650, 1800]","[8, 27]",White,360.0
Asus ROG STRIX LC II ARGB,179.99,"[800, 2500]",37.6,White / Black,360.0
